dipz,charge,casno,squib,state,config,diptot
,0,503300,NSRDS-NBS10,1,1,1.9400001e+000
,0,504643,NSRDS-NBS10,1,1,0.0000000e+000
,0,505226,1974Hel/Hel(II/6),1,1,2.0599999e+000
,0,506774,NSRDS-NBS10,1,1,2.8199999e+000
,0,506854,1974Hel/Hel(II/6),1,1,3.0599999e+000
,0,507200,NSRDS-NBS10,1,1,2.1300001e+000
,0,536743,NISThydrocarbon,1,1,6.5600002e-001
,0,540545,NSRDS-NBS10,1,1,2.0500000e+000
,0,540670,NSRDS-NBS10,1,1,1.2300000e+000
,0,542927,NSRDS-NBS10,1,1,4.1900000e-001
,0,543599,NSRDS-NBS10,1,1,2.1600001e+000
,0,557993,NSRDS-NBS10,1,1,2.9600000e+000
0.0000000e+000,0,558134,,1,1,0.0000000e+000
2.5700000e-001,0,590181,NISThydrocarbon,1,1,2.5700000e-001
,0,590192,NISThydrocarbon,1,1,4.0000001e-001
4.3700001e-001,0,592574,NISThydrocarbon,1,1,4.3700001e-001
,0,593533,NSRDS-NBS10,1,1,1.8500000e+000
,0,593544,NSRDS-NBS10,1,1,1.1000000e+000
,0,593602,NSRDS-NBS10,1,1,1.4200000e+000
4.4408000e-001,0,593635,,1,1,4.4408000e-001
,0,593704,NSRDS-NBS10,1,1,1.8200001e+000
,0,593759,NSRDS-NBS10,1,1,3.8499999e+000
,0,593884,NSRDS-NBS10,1,1,8.6000001e-001
,0,594207,NSRDS-NBS10,1,1,2.2700000e+000
5.4900002e-001,0,598254,NISThydrocarbon,1,1,5.4900002e-001
,0,598583,1974Hel/Hel(II/6),1,1,3.0810001e+000
,0,616422,1971Vau:21,1,1,3.0899999e+000
,0,624646,NSRDS-NBS10,1,1,0.0000000e+000
,0,624919,1974Hel/Hel(II/6),1,1,2.0500000e+000
,0,625581,1974Hel/Hel(II/6),1,1,3.3900001e+000
0.0000000e+000,0,627190,NISThydrocarbon,1,1,8.5325998e-001
7.0000000e-002,0,627203,NISThydrocarbon,1,1,2.8299999e-001
,0,627269,NSRDS-NBS10,1,1,4.5000000e+000
,0,627510,NSRDS-NBS10,1,1,1.2000000e+000
,0,630080,NSRDS-NBS10,1,1,1.1200000e-001
,0,630182,NSRDS-NBS10,1,1,3.9500000e+000
,0,689974,NISThydrocarbon,1,1,2.2390001e-001
,0,693027,NSRDS-NBS10,1,1,8.2999998e-001
1.1000000e-001,0,693867,NISThydrocarbon,1,1,5.0199997e-001
,0,694019,NISThydrocarbon,1,1,2.9220000e-001
,0,765300,1974Hel/Hel(II/6),1,1,1.1900001e+000
,0,765435,1974Hel/Hel(II/6),1,1,2.6199999e+000
,0,822355,NSRDS-NBS10,1,1,1.3200000e-001
-1.6474000e+000,0,865361,1974Hel/Hel(II/6),1,1,1.6474000e+000
,0,917920,NISThydrocarbon,1,1,
,0,980101,1971Vau:21,1,1,3.5400000e+000
,0,992949,NSRDS-NBS10,1,1,7.3500001e-001
,0,1070719,NSRDS-NBS10,1,1,3.7200000e+000
,0,1072431,NSRDS-NBS10,1,1,1.9500000e+000
,0,1111746,NSRDS-NBS10,1,1,7.5000000e-001
,0,1120565,1971Vau:21,1,1,5.1400000e-001
,0,1190767,NSRDS-NBS10,1,1,4.0799999e+000
,0,1191953,NSRDS-NBS10,1,1,2.9900000e+000
,0,1310663,NISTtriatomic,1,1,4.7550001e+000
,0,1317380,1992LBII/19c,1,1,4.5000000e+000
0.0000000e+000,0,1333740,NSRDS-NBS10,1,1,0.0000000e+000
,0,1396660,NSRDS-NBS10,1,1,1.2300000e+000
,0,1449656,NSRDS-NBS10,1,1,6.4300001e-001
,0,1493023,NSRDS-NBS10,1,1,2.0200000e+000
,0,1495507,NSRDS-NBS10,1,1,2.1700001e+000
,0,1511622,NSRDS-NBS10,1,1,1.5000000e+000
,0,1574410,NISThydrocarbon,1,1,5.0000000e-001
,0,1603845,NISTtriatomic,1,1,7.5400001e-001
,0,1613510,1975Kit/Mal:179,1,1,1.7810000e+000
,0,1630779,1961Lau:291,1,1,2.4200001e+000
1.4200000e-001,0,1630940,NISThydrocarbon,1,1,1.4200000e-001
,0,1708298,1974Hel/Hel(II/6),1,1,1.3200001e+000
1.7500000e+000,0,1708323,1981Dur/Li:1564,1,1,1.7500000e+000
1.1100000e+000,0,1738369,1974Kew:509,1,1,2.9800000e+000
,0,1761677,1964Sas/Cur:77,1,1,1.5300000e+000
,0,2004695,NISThydrocarbon,1,1,6.6200000e-001
,0,2004708,NISThydrocarbon,1,1,5.8200002e-001
,0,2053294,1974Hel/Hel(II/6),1,1,2.0000000e+000
-1.4500000e+000,0,2074875,,1,1,1.4500000e+000
,0,2154598,NSRDS-NBS10,1,1,4.6000001e-001
,0,2229074,NSRDS-NBS10,1,1,0.0000000e+000
1.0480000e+000,0,2314978,1980Cox/Dux:339,1,1,1.0480000e+000
0.0000000e+000,0,2551624,,1,1,0.0000000e+000
,0,2696926,NSRDS-NBS10,1,1,1.9000000e+000
,0,2699798,NSRDS-NBS10,1,1,1.1200000e+000
,0,2713099,NSRDS-NBS10,1,1,7.3000002e-001
,0,2781853,NSRDS-NBS10,1,1,4.5400000e-001
,0,2809690,NSRDS-NBS10,1,1,0.0000000e+000
,0,2944050,NSRDS-NBS10,1,1,1.9800000e+000
,0,3100047,NISThydrocarbon,1,1,8.3980000e-001
,0,3352576,NSRDS-NBS10,1,1,1.6600000e+000
6.4499998e-001,0,3889756,NISTdiatomic,1,1,6.4499998e-001
,0,4109960,1976Wel/Ger:117,1,1,1.1300000e+000
,0,4170303,1974Hel/Hel(II/6),1,1,3.7200000e+000
,0,5009278,1974Hel/Hel(II/6),1,1,2.6700001e+000
2.5000000e-002,0,5164352,NISThydrocarbon,1,1,4.0110001e-001
0.0000000e+000,0,6004440,1966Bak/Chr:883,1,1,1.7900000e+000
4.0200001e-001,0,6142730,NISThydrocarbon,1,1,4.0200001e-001
,0,6746947,NISThydrocarbon,1,1,8.9230001e-001
,0,6829523,NSRDS-NBS10,1,1,3.8999999e-001
,0,6914074,NISTtriatomic,1,1,3.0500000e+000
0.0000000e+000,0,7429905,,1,1,0.0000000e+000
0.0000000e+000,0,7439932,,1,1,0.0000000e+000
0.0000000e+000,0,7439954,,1,1,0.0000000e+000
0.0000000e+000,0,7440213,,1,1,0.0000000e+000
0.0000000e+000,0,7440235,,1,1,0.0000000e+000
0.0000000e+000,0,7440417,,1,1,0.0000000e+000
0.0000000e+000,0,7440428,,1,1,0.0000000e+000
0.0000000e+000,0,7440440,,1,1,0.0000000e+000
2.6199999e+000,0,7446084,NISTtriatomic,1,1,2.6199999e+000
,0,7446095,NSRDS-NBS10,1,1,1.6300000e+000
0.0000000e+000,0,7446119,NSRDS-NBS10,1,1,0.0000000e+000
,0,7446700,NSRDS-NBS10,1,1,0.0000000e+000
1.0239100e+001,0,7447407,NISTdiatomic,1,1,1.0239100e+001
,0,7447418,NSRDS-NBS10,1,1,7.1300001e+000
7.2262001e+000,0,7550358,NISTdiatomic,1,1,7.2262001e+000
,0,7580678,NSRDS-NBS10,1,1,5.8800001e+000
,0,7616946,NSRDS-NBS10,1,1,2.3000000e-002
,0,7631869,NSRDS-NBS10,1,1,0.0000000e+000
,0,7637072,NSRDS-NBS10,1,1,0.0000000e+000
,0,7647010,NSRDS-NBS10,1,1,1.0800000e+000
,0,7647145,NSRDS-NBS10,1,1,9.0000000e+000
9.1183004e+000,0,7647156,NISTdiatomic,1,1,9.1183004e+000
,0,7647190,NSRDS-NBS10,1,1,0.0000000e+000
,0,7664393,NSRDS-NBS10,1,1,1.8200001e+000
,0,7664417,NSRDS-NBS10,1,1,1.4700000e+000
,0,7664939,1981Kuc/Sue:2561,1,1,2.7249999e+000
,0,7681494,NSRDS-NBS10,1,1,8.1599998e+000
,0,7693278,NSRDS-NBS10,1,1,0.0000000e+000
,0,7697372,NSRDS-NBS10,1,1,2.1700001e+000
0.0000000e+000,0,7704349,,1,1,0.0000000e+000
,0,7719097,NSRDS-NBS10,1,1,1.4500000e+000
,0,7719122,NSRDS-NBS10,1,1,7.7999997e-001
1.7700000e+000,0,7722841,1965Hun/Lea:1931,1,1,1.7700000e+000
0.0000000e+000,0,7723140,,1,1,0.0000000e+000
,0,7726956,,1,1,0.0000000e+000
,0,7727379,NSRDS-NBS10,1,1,0.0000000e+000
,0,7732185,NSRDS-NBS10,1,1,1.8500000e+000
1.0602600e+001,0,7758023,NISTdiatomic,1,1,1.0602600e+001
,0,7782390,NSRDS-NBS10,1,1,0.0000000e+000
,0,7782414,NSRDS-NBS10,1,1,0.0000000e+000
,0,7782447,NSRDS-NBS10,1,1,0.0000000e+000
,0,7782505,NSRDS-NBS10,1,1,0.0000000e+000
,0,7782798,1974Hel/Hel(II/6),1,1,
,0,7783064,NSRDS-NBS10,1,1,9.7000003e-001
-6.2699997e-001,0,7783075,1969Mir/Cor:4118,1,1,6.2699997e-001
,0,7783417,NSRDS-NBS10,1,1,2.9699999e-001
