Cd,Kr,Cl,Co,Cr,Te,Cu,Pd,Ti,He,Li,Mass,filename,Mg,omit,nval,Mn,B,Mo,C,Hill,D,In,symno,F,Ag,H,I,Al,K,polyatomic,N,O,P,Rb,Ar,As,Na,S,Zn,Nb,V,Rh,Ne,Zr,X,Y,Ni,Jg,Fe,charge,Be,Ru,Sb,Sc,Br,Se,vibs,casno,Si,formula,Ga,Sn,Ca,Ge,Sr
0,0,0,0,0,0,0,0,0,0,0,7.609600000000000e+001,benzyne,0,n,28,0,0,0,6,C6H4,0,0,2,0,0,4,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,462806,0,H4C6,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.006475830000000e+001,allene,0,n,16,0,0,0,3,C3H4,0,0,4,0,0,4,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,463490,0,H4C3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.203728104000000e+001,ch2co,0,n,16,0,0,0,2,C2H2O,0,0,2,0,0,2,0,0,0,poly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,463514,0,H2C2O1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.203728104000000e+001,ch2co+,0,n,15,0,0,0,2,C2H2O,0,0,2,0,0,2,0,0,0,poly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,463514,0,H2C2O1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.804130000000000e+001,ch2o2h2,0,n,20,0,0,0,1,CH4O2,0,0,2,0,0,4,0,0,0,poly,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,463570,0,H4C1O2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.007040024000000e+001,cos,0,n,16,0,0,0,1,COS,0,0,1,0,0,0,0,0,0,linear,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,463581,0,C1O1S1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.007040024000000e+001,cos+,0,n,15,0,0,0,1,COS,0,0,1,0,0,0,0,0,0,linear,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,463581,0,C1O1S1,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,1.149820000000000e+002,cl2cs,0,n,24,0,0,0,1,CCl2S,0,0,2,0,0,0,0,0,0,poly,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,463718,0,C1S1Cl2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.203000000000000e+001,h2co3,0,n,24,0,0,0,1,CH2O3,0,0,2,0,0,2,0,0,0,poly,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,463796,0,H2C1O3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7.215000000000001e+001,neopentane,0,n,32,0,0,0,5,C5H12,0,0,12,0,0,12,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,463821,0,H12C5,0,0,0,0,0
