charge,coordinate,casno,state,config
0,11,68122,1,1
0,12,68122,1,1
0,1,71432,1,1
0,2,71432,1,1
0,3,71432,1,1
0,4,71432,1,1
0,1,71556,1,1
0,2,71556,1,1
0,3,71556,1,1
0,4,71556,1,1
0,5,71556,1,1
0,6,71556,1,1
0,7,71556,1,1
0,1,74828,1,1
0,2,74828,1,1
0,1,74839,1,1
0,2,74839,1,1
0,3,74839,1,1
0,4,74839,1,1
0,1,74840,1,1
0,2,74840,1,1
0,3,74840,1,1
0,4,74840,1,1
0,1,74851,1,1
0,2,74851,1,1
0,3,74851,1,1
0,4,74851,1,1
0,1,74862,1,1
0,2,74862,1,1
0,3,74862,1,1
0,1,74873,1,1
0,2,74873,1,1
0,3,74873,1,1
0,4,74873,1,1
0,1,74884,1,1
0,2,74884,1,1
0,3,74884,1,1
0,4,74884,1,1
0,1,74895,1,1
0,2,74895,1,1
0,3,74895,1,1
0,4,74895,1,1
0,5,74895,1,1
0,6,74895,1,1
0,1,74908,1,1
0,2,74908,1,1
0,3,74908,1,1
0,1,74931,1,1
0,2,74931,1,1
0,3,74931,1,1
0,4,74931,1,1
0,5,74931,1,1
0,1,74953,1,1
0,2,74953,1,1
0,3,74953,1,1
0,4,74953,1,1
0,5,74953,1,1
0,1,74964,1,1
0,2,74964,1,1
0,3,74964,1,1
0,4,74964,1,1
0,5,74964,1,1
0,6,74964,1,1
0,7,74964,1,1
0,8,74964,1,1
0,9,74964,1,1
0,10,74964,1,1
0,1,74986,1,1
0,2,74986,1,1
0,3,74986,1,1
0,4,74986,1,1
0,5,74986,1,1
0,6,74986,1,1
0,7,74986,1,1
0,8,74986,1,1
0,9,74986,1,1
0,10,74986,1,1
0,11,74986,1,1
0,1,74997,1,1
0,2,74997,1,1
0,3,74997,1,1
0,4,74997,1,1
0,5,74997,1,1
0,6,74997,1,1
0,1,75003,1,1
0,2,75003,1,1
0,3,75003,1,1
0,4,75003,1,1
0,5,75003,1,1
0,6,75003,1,1
0,7,75003,1,1
0,8,75003,1,1
0,9,75003,1,1
0,10,75003,1,1
0,11,75003,1,1
0,1,75014,1,1
0,2,75014,1,1
0,3,75014,1,1
0,4,75014,1,1
0,5,75014,1,1
0,6,75014,1,1
0,7,75014,1,1
0,8,75014,1,1
0,1,75025,1,1
0,2,75025,1,1
0,3,75025,1,1
0,4,75025,1,1
0,5,75025,1,1
0,6,75025,1,1
0,7,75025,1,1
0,8,75025,1,1
0,9,75025,1,1
0,10,75025,1,1
0,11,75025,1,1
0,1,75047,1,1
0,2,75047,1,1
0,3,75047,1,1
0,4,75047,1,1
0,5,75047,1,1
0,6,75047,1,1
0,7,75047,1,1
0,1,75058,1,1
0,2,75058,1,1
0,3,75058,1,1
0,4,75058,1,1
0,5,75058,1,1
0,1,75070,1,1
0,2,75070,1,1
0,3,75070,1,1
0,4,75070,1,1
0,5,75070,1,1
0,6,75070,1,1
0,7,75070,1,1
0,1,75081,1,1
0,2,75081,1,1
0,3,75081,1,1
0,4,75081,1,1
0,5,75081,1,1
0,6,75081,1,1
0,7,75081,1,1
0,8,75081,1,1
0,9,75081,1,1
0,10,75081,1,1
0,11,75081,1,1
0,12,75081,1,1
0,13,75081,1,1
0,14,75081,1,1
0,15,75081,1,1
0,16,75081,1,1
0,1,75092,1,1
0,2,75092,1,1
0,3,75092,1,1
0,4,75092,1,1
0,5,75092,1,1
0,1,75105,1,1
0,2,75105,1,1
0,3,75105,1,1
0,4,75105,1,1
0,5,75105,1,1
0,1,75127,1,1
0,2,75127,1,1
0,3,75127,1,1
0,4,75127,1,1
0,5,75127,1,1
0,6,75127,1,1
0,7,75127,1,1
0,8,75127,1,1
0,9,75127,1,1
0,10,75127,1,1
