charge,coordinate,casno,udex,state,atom2ECA,config,atom1ECA
0,4,67561,1,1,1,1,3
0,4,67561,2,1,1,1,3
0,4,67561,3,1,1,1,4
0,5,67561,1,1,2,1,1
0,6,67561,1,1,1,1,3
0,1,67641,1,1,2,1,1
0,2,67641,1,1,3,1,1
0,2,67641,2,1,4,1,1
0,3,67641,1,1,5,1,3
0,3,67641,2,1,7,1,3
0,3,67641,3,1,8,1,3
0,3,67641,4,1,6,1,4
0,3,67641,5,1,9,1,4
0,3,67641,6,1,10,1,4
0,4,67641,1,1,1,1,3
0,5,67641,1,1,3,1,1
0,5,67641,2,1,3,1,1
0,5,67641,3,1,3,1,1
0,5,67641,4,1,4,1,1
0,5,67641,5,1,4,1,1
0,5,67641,6,1,4,1,1
0,6,67641,1,1,1,1,2
0,6,67641,2,1,1,1,2
0,1,67663,1,1,2,1,1
0,2,67663,1,1,3,1,1
0,2,67663,2,1,4,1,1
0,2,67663,3,1,5,1,1
0,3,67663,1,1,1,1,3
0,3,67663,2,1,1,1,3
0,3,67663,3,1,1,1,4
0,4,67663,1,1,1,1,2
0,4,67663,2,1,1,1,2
0,4,67663,3,1,1,1,2
0,1,67685,1,1,3,1,1
0,1,67685,2,1,4,1,1
0,2,67685,1,1,2,1,1
0,3,67685,1,1,7,1,3
0,3,67685,2,1,10,1,4
0,4,67685,1,1,8,1,3
0,4,67685,2,1,9,1,4
0,5,67685,1,1,5,1,3
0,5,67685,2,1,6,1,4
0,6,67685,1,1,1,1,3
0,7,67685,1,1,1,1,2
0,7,67685,2,1,1,1,2
0,8,67685,1,1,3,1,1
0,8,67685,2,1,4,1,1
0,9,67685,1,1,3,1,1
0,9,67685,2,1,3,1,1
0,10,67685,1,1,3,1,1
0,10,67685,2,1,4,1,1
0,11,67685,1,1,3,1,7
0,11,67685,2,1,4,1,9
0,12,67685,1,1,3,1,5
0,12,67685,2,1,4,1,6
0,13,67685,1,1,3,1,5
0,13,67685,2,1,4,1,6
0,1,67710,1,1,4,1,1
0,1,67710,2,1,5,1,1
0,2,67710,1,1,2,1,1
0,2,67710,2,1,3,1,1
0,3,67710,1,1,6,1,4
0,3,67710,2,1,8,1,4
0,3,67710,3,1,9,1,4
0,3,67710,4,1,7,1,5
0,3,67710,5,1,10,1,5
0,3,67710,6,1,11,1,5
0,4,67710,1,1,1,1,4
0,5,67710,1,1,1,1,2
0,6,67710,1,1,4,1,6
0,6,67710,2,1,4,1,6
0,6,67710,3,1,4,1,8
0,6,67710,4,1,5,1,7
0,6,67710,5,1,5,1,7
0,6,67710,6,1,5,1,10
0,7,67710,1,1,1,1,2
0,7,67710,2,1,1,1,2
0,7,67710,3,1,1,1,3
0,7,67710,4,1,1,1,3
0,1,68122,1,1,7,1,4
0,1,68122,2,1,8,1,4
0,1,68122,3,1,9,1,4
0,1,68122,4,1,10,1,5
0,1,68122,5,1,11,1,5
0,1,68122,6,1,12,1,5
0,1,68122,7,1,6,1,1
0,2,68122,1,1,3,1,1
0,3,68122,1,1,4,1,3
0,3,68122,2,1,5,1,3
0,4,68122,1,1,2,1,1
0,5,68122,1,1,3,1,1
0,6,68122,1,1,3,1,1
0,7,68122,1,1,3,1,4
0,8,68122,1,1,1,1,2
0,9,68122,1,1,1,1,3
0,10,68122,1,1,1,1,2
0,11,68122,1,1,1,1,2
0,12,68122,1,1,4,1,3
0,12,68122,2,1,4,1,3
0,12,68122,3,1,4,1,3
0,12,68122,4,1,5,1,3
0,12,68122,5,1,5,1,3
0,12,68122,6,1,5,1,3
0,1,71432,1,1,2,1,1
0,1,71432,2,1,3,1,2
0,1,71432,3,1,4,1,3
0,1,71432,4,1,5,1,4
0,1,71432,5,1,6,1,5
0,1,71432,6,1,6,1,1
0,2,71432,1,1,7,1,1
0,2,71432,2,1,8,1,2
0,2,71432,3,1,9,1,3
0,2,71432,4,1,10,1,4
0,2,71432,5,1,11,1,5
0,2,71432,6,1,12,1,6
0,3,71432,1,1,2,1,1
0,3,71432,2,1,3,1,2
0,3,71432,3,1,4,1,3
0,3,71432,4,1,5,1,4
0,3,71432,5,1,6,1,1
0,3,71432,6,1,1,1,2
0,4,71432,1,1,2,1,1
0,4,71432,2,1,2,1,3
0,4,71432,3,1,3,1,2
0,4,71432,4,1,3,1,4
0,4,71432,5,1,4,1,3
0,4,71432,6,1,4,1,5
0,4,71432,7,1,5,1,4
0,4,71432,8,1,5,1,6
0,4,71432,9,1,6,1,5
0,4,71432,10,1,6,1,1
0,4,71432,11,1,1,1,2
0,4,71432,12,1,1,1,6
