A,B,charge,C,symno,casno,SQUIB,state,polyatomic,config
1.232267991200000e-001,1.071596671000000e-001,0,9.259115517842000e-002,2,279232,NISThydrocarbon,1,poly,1
1.848930000000000e-001,1.413250000000000e-001,0,1.043068260000000e-001,1,285585,NISThydrocarbon,1,poly,1
,3.558200000000000e-001,0,,4,287230,1987Ega/Fuk:6018,1,poly,1
3.372700000000000e-001,2.226000000000000e-001,0,1.481000000000000e-001,1,287274,1965Whi/Bee:1839,1,poly,1
,,0,,,287923,,1,poly,1
,,0,,1,288131,,1,poly,1
3.264357000000000e-001,3.193908000000000e-001,0,1.613425000000000e-001,1,288142,1975Sti:2560,1,poly,1
,,0,,1,288324,,1,poly,1
,,0,,1,288426,,1,poly,1
,,0,,1,288880,,1,poly,1
,,0,,1,288948,,1,poly,1
2.083000000000000e-001,1.989000000000000e-001,0,1.018000000000000e-001,2,289805,1966Herzberg,1,poly,1
2.093700000000000e-001,2.023800000000000e-001,0,1.028800000000000e-001,2,289952,1966Herzberg,1,poly,1
2.138240000000000e-001,1.973040000000000e-001,0,1.026070000000000e-001,4,290379,1994Hew/She:4077,1,poly,1
2.146000000000000e-001,2.146000000000000e-001,0,1.073000000000000e-001,12,290879,1966Herzberg,1,poly,1
,8.090000000000001e-001,0,,2,302012,Gurvich,1,poly,1
9.112000000000000e+000,3.771090000000000e-001,0,3.617590000000000e-001,2,334883,1966Herzberg,1,poly,1
4.775870600000000e-001,5.794365200000000e-002,0,5.381489617000000e-002,2,352932,2001Plu/Sue:3057,1,poly,1
1.203175700000000e+000,3.123674000000000e-001,0,2.735139000000000e-001,1,353366,1955Kra/Dai:184,1,poly,1
3.940540000000000e-001,3.920370000000000e-001,0,1.961660000000000e-001,2,353504,1966Herzberg,1,poly,1
1.880896616818830e-001,9.858692976192220e-002,0,9.858692976192220e-002,3,353855,1993Cox/Ell:2937,1,poly,1
1.041119900000000e+001,3.378923400000000e-001,0,3.290918000000000e-001,1,420042,1986Bir/Win:382,1,poly,1
7.329904209931790e-001,3.610821323597140e-001,0,2.677265483443220e-001,2,420122,1974Oki:Hir:111,1,poly,1
,,0,,3,420462,,1,poly,1
,,0,,,431038,,1,poly,1
,1.464102100000000e-001,0,,2,460128,1992McN/Bru:11,1,linear,1
,1.571000000000000e-001,0,,2,460195,1966Herzberg,1,linear,1
1.889153000000000e-001,8.574732056800000e-002,0,5.897213064000000e-002,2,462066,1957Bak/Chr:134,1,poly,1
4.810000000000000e+000,2.963200000000000e-001,0,2.963200000000000e-001,4,463490,1966Herzberg,1,poly,1
9.369999999999999e+000,3.433470000000000e-001,0,3.307580000000000e-001,2,463514,1966Herzberg,1,poly,1
,2.028570000000000e-001,0,,1,463581,1966Herzberg,1,linear,1
,,0,,,463821,,1,poly,1
,,0,,2,471465,,1,poly,1
,,0,,1,471476,,1,poly,1
2.730600000000000e-001,1.268455000000000e-001,0,8.660778000000000e-002,2,497201,1972Bar/Bro:401,1,poly,1
,,0,,,497267,,1,poly,1
2.557974150000000e+000,1.106513000000000e-001,0,1.106513000000000e-001,6,503173,1976Hellwege(II/7),1,poly,1
4.017800000000000e-001,3.914040000000000e-001,0,2.245100000000000e-001,2,503300,1966Herzberg,1,poly,1
,,0,,,504632,,1,poly,1
,7.321000000000000e-002,0,,2,504643,1966Herzberg,1,linear,1
,,0,,,505226,,1,poly,1
,1.371720000000000e-001,0,1.371720000000000e-001,1,506683,JANAF,1,linear,1
,1.991657000000000e-001,0,,1,506774,1993Fav/Mel:165,1,linear,1
,,0,,,507200,,1,poly,1
,,0,,,513359,,1,poly,1
,,0,,,513440,,1,poly,1
,,0,,,513531,,1,poly,1
,,0,,,534156,,1,poly,1
1.894874887000000e-001,5.102683403700000e-002,0,4.019310250000000e-002,2,536743,NISThydrocarbon,1,poly,1
8.590356000000000e-001,7.937825000000000e-002,0,7.577480000000000e-002,1,540545,1984Yam/Sug:2315,1,poly,1
3.099628000000000e-001,7.469149999999999e-002,0,6.456323000000000e-002,2,540636,1984Nan/Chu:1051,1,poly,1
,,0,,,540670,,1,poly,1
,,0,,,541311,,1,poly,1
,,0,,,541355,,1,poly,1
,,0,,1,541413,,1,poly,1
2.516870000000000e-001,7.161650000000000e-002,0,5.991680000000000e-002,1,541424,1983End/Oka:327,1,poly,1
2.810640000000000e-001,2.743740000000000e-001,0,1.424830000000000e-001,2,542927,1966Herzberg,1,poly,1
,,0,,,543599,,1,poly,1
,,0,,,543679,,1,poly,1
,,0,,,554143,,1,poly,1
,,0,,,557175,,1,poly,1
3.682307444800000e-001,3.230785078650000e-001,0,1.775244792840000e-001,1,557993,1959Pie/Kri:875,1,poly,1
2.123984720122610e-002,2.123984720122610e-002,0,2.123984720122610e-002,12,558134,1995Kuchitsu(II/23),1,poly,1
,,0,,,563462,,1,poly,1
,,0,,,563520,,1,poly,1
,,0,,,563780,,1,poly,1
,,0,,,563791,,1,poly,1
,,0,,,563804,,1,poly,1
,,0,,,563837,,1,poly,1
5.356909278800000e-001,1.714235919830000e-001,0,1.363663391000000e-001,2,590181,NISThydrocarbon,1,poly,1
1.129448000000000e+000,1.401389000000000e-001,0,1.310276000000000e-001,1,590192,1957Lid/Man:874,1,poly,1
,,0,,,591935,,1,poly,1
,,0,,,591957,,1,poly,1
,,0,,,591968,,1,poly,1
,,0,,,591979,,1,poly,1
4.468758000000000e-001,4.172886000000000e-002,0,4.096100000000000e-002,1,592416,2000Fra/Sue:1141,1,poly,1
,,0,,,592427,,1,poly,1
1.692504000000000e-001,1.688617600000000e-001,0,9.011877400000000e-002,,592574,NISThydrocarbon,1,poly,1
5.182004000000000e+000,8.517942000000000e-001,0,8.517942000000000e-001,3,593533,1993Pap/Hsu:33,1,poly,1
,,0,,1,593544,,1,poly,1
1.810044900000000e+000,1.388461500000000e-001,0,1.288386980000000e-001,1,593602,1990Hay/Ike:299,1,poly,1
,1.896050366950000e-001,0,,1,593635,1978Jon/Tak:156,1,linear,1
1.394672170100000e+000,1.906645500060000e-001,0,1.732829339550000e-001,1,593704,1995Bla/Les:397,1,poly,1
,,0,,3,593759,,1,poly,1
1.403115684784840e+000,2.100413079771340e-001,0,1.891515229512540e-001,1,593782,1964Rig/But:2109,1,poly,1
,,0,,2,594207,,1,poly,1
,,0,,,594434,,1,poly,1
2.756570620000000e-001,1.205565344800000e-001,0,8.804385132000001e-002,,598254,NISThydrocarbon,1,poly,1
,,0,,1,598505,,1,poly,1
,,0,,,598538,,1,poly,1
3.934409000000000e-001,1.570260000000000e-001,0,1.146890000000000e-001,1,598583,1961Dix/Wil:191,1,poly,1
,,0,,,598754,,1,poly,1
,,0,,,598947,,1,poly,1
,,0,,,616126,,1,poly,1
,,0,,,616217,,1,poly,1
,,0,,,616422,,1,poly,1
,,0,,,616444,,1,poly,1
,,0,,,616455,,1,poly,1
,,0,,2,624646,,1,poly,1
,,0,,,624895,,1,poly,1
,,0,,1,624919,,1,poly,1
2.723160560000000e-001,9.394615900000000e-002,0,8.573771000000000e-002,2,624920,1992Mey:99,1,poly,1
,,0,,,625525,,1,poly,1
3.327285000000000e-001,7.365360000000000e-002,0,6.174100000000000e-002,1,625581,1974Riv/Wil:1376,1,poly,1
,,0,,,625605,,1,poly,1
7.799395673900000e-001,7.440347281850000e-002,0,7.059423756400000e-002,1,627190,NISThydrocarbon,1,poly,1
